statement_id,sentence
,the coursework element has developed my skills in collecting and analysing data in order to establish trends and draw conclusions.
1007,"as well as computing, i am taking a-levels in physics and mathematics."
,i believe that these disciplines compliment each other brilliantly and will prepare me well for undergraduate study.
,my interest in computing has not only been restricted to school.
,"with the help of my dad, i have used all of my knowledge and skill to set up my own computer-related business."
1008,from an early age i have always been fascinated by the stage.
,"far from being mere entertainment, i believe that a theatrical production can convey so much information and emotion to the audience."
,"because there were only six of us in the group, we shared a lot of responsibility."
,"these tasks were enjoyable but the most challenging part of the production was to adapt the story for the stage, and produce a script as close to the original story as possible."
,my favourite playwright is willy russell.
,i am looking forward to discovering more playwrights while at university.
,"every year we hold a major production, the most recent being oh what a lovely war."
1009,"i regularly read newspapers and economic publications such as the economist to keep up-to-date with developments in the field, and i find it easy to use my mathematical and analytical skills to apply different economic theories to a range of real-life economic situations."
,i also take maths and politics at as-level and know that the skills i am acquiring from these will prepare me well for university- level study.
,i would consider myself to be a very hard worker both in and out of school.
1010,i have a general interest in sociology and look forward to combining this with my interests in linguistics.
,"i look forward to setting myself new challenges and building upon my existing experience, which will hopefully help me to achieve my ambition of becoming a successful teacher."
1011,"i find europe fasinating: that a group of diverse countries with their own cultures and heritage should come together and form common policies is an interesting and often controversial area, and one i would like to discover more about."
,i have chosen to apply for a joint course in european studies and politics as i believe the two disciplines are closely interlinked.
,"i have travelled to france, spain and germany several times, for family holidays and for exchange trips with my school."
,i also enjoy going to the cinema and spending time with my friends.
1012,"i enjoy seeing the new developments in cgi and other techniques such as prosthetics, sound, and camera angles."
,i also took as-level german which has helped in my appreciation of european cinema.
,i look forward to the opportunity to perhaps continue some aspects of these courses at university.
1013,"i have also been interested in military history, in particular the use of animals in warfare, especially homing pigeons and horses."
,this link between past and present is one which fascinates me.
,i find that visiting historical sites is a great complement to my studies.
,i am passionate about preserving historical buildings as they serve to remind us of our country’s past.
1014,my name is katherine jones and i am 17 years old.
,"i have an interest in all of the developing world, but latin america has always particularly fascinated me."
,"i closely follow the news and current affairs of latin america, such as the re-election of michelle bachelet in 2014, chile’s first female president and the relationship between cuba and the united states."
,it has always been my ambition to travel to peru to visit the ancient inca civilisations.
,i am really looking forward to this experience as a chance to see first-hand the culture of a latin american country and an opportunity to improve my spanish!
1015,i have spent time in the public galleries of both the local county court and high court.
,our presentation – is it ever justifiable to execute criminals?
,i am an extremely hardworking person and i am committed to reaching my goals.
1016,"while studying for my international baccalaureate, the courses i enjoyed the most were english, philosophy, french and history."
,i also enjoy reading (my favourite genres are the historical novel and autobiographies) and travelling: i am currently saving in order to spend a month travelling around europe this summer.
1017,this is an interesting and satisfying task.
1018,"i enjoy the challenge of thinking in a logical way and am always attracted to mathematical problems, however difficult and regardless of the form in which they come."
,"having studied a-level mathematics for a year, i have been able to have a taste of many different topics."
,i am efficient and make good use of the time from free periods to complete my homework.
,spending time with the younger pupils has made me realise that i might like to be a teacher.
,"john mclusky, who was the original artist of the james bond 007 strip cartoon series in the daily express, is my hero, and i enjoy visiting his exhibitions whenever i can."
,i believe that the challenge of studying and developing my mathematical knowledge to a higher level is going to be one that i will thoroughly enjoy.
1019,this german joke is one which i find amusing but also slightly shocking.
,"i am currently studying for a2 levels in french, spanish and art."
,"i enjoy all my subjects, and they challenge me in different ways."
,"i would like to go to a latin american country, such as chile or brazil, so i could improve my spanish."
,"did you know...  we specialise in developing translation, interpreting and subtitling skills at undergraduate level using the latest technology in our multimedia labs."
1020,it challenges many of our assumptions about what we know and how we should live.
,it is for these reasons that philosophy intrigues me more than any other discipline that i have studied.
,i thoroughly enjoy philosophy and know that i will have the determination to do well at university.
,a-level philosophy has provided me with an excellent grounding on which to build.
,these experiences have made me very aware that cultural diversity is a fantastic thing and i am very excited about meeting new people at university.
1021,"i am eager to read politics at university, particularly comparative politics and international relations."
,this has also increased my knowledge of the british political system.
,"i have taken part in several on issues including the scottish referendum, capital punishment and the bedroom tax."
,at the last general election my school held a mock election.
,i loved this experience and look forward to doing more things like this at university.
,"this was interesting because it was at the time when many questions were being asked about the scandal surrounding expense claims submitted by mps, and the ensuing debate was fascinating to watch."
,i was recently selected to attend a summer school at the royal ballet school.
1022,from an early age i have been interested in people and the way that they behave.
,"my final-year project, ‘do birds of a feather flock together?’ tests the hypothesis that people select partners who are of a similar level of attractiveness."
,i really like the way that you can apply different psychological theories to real-life situations.
,"i have strengthened my assessment and evaluation skills through a-level religious studies, particularly the modules on philosophy and ethics."
,i know that these qualities will prepare me well for life at university.
,i am very determined to make the most of my time at university.
," you have unparalleled access to facilities such as eeg, tms and eye tracking."
1023,i like the way that sociology makes you question the world around you.
,"for example, why do some people commit more crime than others?"
,it was this question that sparked my interest in this discipline.
,during my as-level studies i have had the opportunity to become familiar with various sociologists and their perspectives.
,i am particularly interested in the thoughts of emile durkheim in relation to crime and deviance.
,in 2013 i reached the finals of the uk chess challenge and that was without doubt the most pivotal moment in my chess-playing career.
,"thank you for taking the time to read my application, i hope you can see my potential."
1024,i have always wanted a career in sport.
,i am also responsible for the tills at the end of the day and am often trusted to close the shop.
,i would consider myself to be an excellent communicator and i also possess good time-keeping skills; i hate being late for anything!
,"i know that i will put every effort into making the most of my time, both academically and socially."
1025,"i believe that i will successfully complete this course, as i am extremely motivated and very willing to study, and learn new things in order to achieve my goals."
,this course will help me to achieve my dream career in ivf treatment and research.
,"in my home country cyprus, ivf is on the increase and it has a great potential for a career."
,"i entered a national art competition, where i became third in cyprus."
,it was a great experience for me and a quick glance into what i could be doing in my future career.
,it gave me a lot of knowledge that would be useful for my future.
,"i want to carry on studying in the uk because i really love this country and its people who are friendly, warm and helpful towards me."
1026,"after watching the movie several times, i tried to read the original book."
,i enjoy reading masterpieces and watching classical movies.
,"by helping these children, i would gain a deeper understanding and knowledge of the topic."
,these all broaden my horizons and inform me of the diversity of culture.
,"travelling gives me the opportunity to experience different cultures in-person, and meet people from across the world."
,i also enjoy volunteering.
,i was moved by their pureness and thirst for knowledge.
,"these experiences are very valuable, enriching my life and making it meaningful."
,studying in the uk will help me towards my career goals.
1027,"having enjoyed an inspirational relationship with my grandfather, who was a sonar/acoustics engineer with patented designs in the nuclear marine department of the military of defence, i have always been encouraged to look for answers using my love of physics and maths."
,"at a young age, i enjoyed taking damaged toys apart and trying to fix them."
,very quickly i learnt how to wire a simple motor and battery circuit.
,"after that i learnt how to solder, and design on 2d and 3d software on computers."
,"i now design and print on my own 3d printer, proudly purchased by me, and pushing my software limits to achieve new and improved ideas."
,i appreciate timelines and deadlines.
